location tags;android.location.Address.getAdminArea()
gps information;android.location.Location.getAltitude()
address book;android.accounts.AccountManager.getUserData(Account account, String key)
application information;android.content.pm.PackageManager.getServiceInfo(ComponentName component, int flags)
application software;android.content.pm.PackageManager.getApplicationInfo(String packageName, int flags)
application software;android.test.mock.MockPackageManager.getApplicationInfo(String packageName, int flags)
application version number;android.webkit.WebSettings.getDefaultUserAgent(Context context)
area code;android.telephony.TelephonyManager.getNeighboringCellInfo()
bluetooth settings;android.bluetooth.BluetoothAdapter.getState()
bluetooth settings;android.bluetooth.BluetoothAdapter.isEnabled()
bluetooth settings;android.bluetooth.BluetoothClass.getDeviceClass()
bluetooth settings;android.bluetooth.BluetoothClass.getMajorDeviceClass()
bluetooth settings;android.bluetooth.BluetoothDevice.getBluetoothClass()
bluetooth settings;android.bluetooth.BluetoothDevice.getName()
bluetooth settings;android.bluetooth.BluetoothAdapter.getAddress()
bluetooth settings;android.bluetooth.BluetoothAdapter.getBondedDevices()
browser language;android.webkit.WebSettings.getDefaultUserAgent(Context context)
browser type;android.webkit.WebSettings.getUserAgentString()
browser type;android.webkit.WebSettings.getDefaultUserAgent(Context context)
calendar entries;android.accounts.AccountManager.getUserData(Account account, String key)
carrier network;android.location.LocationManager.getBestProvider(Criteria criteria, boolean enabledOnly)
carrier network;android.telephony.TelephonyManager.getNeighboringCellInfo()
carrier network;android.location.LocationManager.getProvider(String name)
carrier network;android.location.LocationManager.getProviders(boolean enabledOnly)
carrier network;android.telephony.TelephonyManager.getNetworkOperator()
carrier network;android.telephony.TelephonyManager.getNetworkCountryIso()
carrier network;android.telephony.TelephonyManager.getSimOperator()
cell towers;android.location.LocationManager.getBestProvider(Criteria criteria, boolean enabledOnly)
cell towers;android.telephony.TelephonyManager.getNeighboringCellInfo()
cell towers;android.telephony.TelephonyManager.getCellLocation()
cell towers;android.location.LocationManager.getProvider(String name)
cell towers;android.location.LocationManager.getProviders(boolean enabledOnly)
chat histories;android.accounts.AccountManager.getUserData(Account account, String key)
chat text;android.telephony.SmsMessage.getDisplayMessageBody()
chat text;android.telephony.SmsMessage.getMessageBody()
contacts;android.net.MailTo.getCc()
contacts;android.net.MailTo.getTo()
cookies;android.webkit.CookieManager.getCookie(String url)
country;android.location.Address.getCountryCode()
country;android.telephony.TelephonyManager.getSimCountryIso()
country;android.location.Address.getCountryName()
data;android.app.backup.BackupDataInput.readEntityData(byte[] data, int offset, int size)
device capability;android.view.InputDevice.getMotionRanges()
device characteristics;android.view.InputDevice.getMotionRanges()
device characteristics;android.view.InputDevice.getDescriptor()
device characteristics;android.content.pm.PackageManager.getSystemAvailableFeatures()
device characteristics;android.test.mock.MockPackageManager.getSystemAvailableFeatures()
device id;android.view.InputEvent.getDeviceId()
device id;android.view.KeyEvent.getDeviceId()
device id;android.view.MotionEvent.getDeviceId()
device information;android.hardware.input.InputManager.getInputDevice(int id)
device name;android.view.InputDevice.getName()
devices hardware;android.app.ActivityManager.getDeviceConfigurationInfo()
domain servers;android.net.wifi.WifiManager.getDhcpInfo()
domain servers;android.net.wifi.WifiManager.getConnectionInfo()
files;android.content.Context.openFileInput(String name)
files;android.content.ContextWrapper.openFileInput(String name)
files;android.test.mock.MockContext.openFileInput(String name)
files;android.test.RenamingDelegatingContext.openFileInput(String name)
gps;android.location.LocationManager.getBestProvider(Criteria criteria, boolean enabledOnly)
gps;android.location.LocationManager.getProvider(String name)
gps;android.location.LocationManager.getProviders(boolean enabledOnly)
gps information;android.location.Location.getBearing()
gps information;android.location.LocationProvider.getAccuracy()
gps information;android.location.Location.getAccuracy()
gps information;android.location.Location.getSpeed()
hardware device id;android.hardware.input.InputManager.getInputDeviceIds()
hardware information;android.os.Build.getRadioVersion()
hardware settings;android.app.ActivityManager.getDeviceConfigurationInfo()
high-level geographic information;android.location.Location.distanceTo(Location dest)
imei;android.telephony.TelephonyManager.getDeviceId()
installed applications;android.content.pm.PackageManager.getInstalledApplications(int flags)
installed applications;android.test.mock.MockPackageManager.getInstalledApplications(int flags)
installed applications;android.content.pm.PackageManager.getInstalledPackages(int flags)
installed applications;android.test.mock.MockPackageManager.getInstalledPackages(int flags)
installed applications;android.content.pm.PackageManager.getPackagesForUid(int uid)
installed applications;android.test.mock.MockPackageManager.getPackagesForUid(int uid)
ip address;android.net.wifi.WifiManager.getDhcpInfo()
ip address;android.net.wifi.WifiManager.getConnectionInfo()
latitude;android.location.Location.getLatitude()
location;android.location.LocationManager.requestLocationUpdates(long minTime, float minDistance, Criteria criteria, LocationListener listener, Looper looper)
location;android.location.LocationManager.requestLocationUpdates(long minTime, float minDistance, Criteria criteria, PendingIntent intent)
location;android.location.LocationManager.requestLocationUpdates(String provider, long minTime, float minDistance, LocationListener listener, Looper looper)
location;android.location.LocationManager.requestLocationUpdates(String provider, long minTime, float minDistance, LocationListener listener)
location;android.location.LocationManager.requestSingleUpdate(Criteria criteria, LocationListener listener, Looper looper)
location;android.location.LocationManager.requestSingleUpdate(Criteria criteria, PendingIntent intent)
location;android.location.LocationManager.requestSingleUpdate(String provider, LocationListener listener, Looper looper)
location;android.location.LocationManager.requestSingleUpdate(String provider, PendingIntent intent)
location information;android.location.Location.distanceTo(Location dest)
location tags;android.location.Address.getCountryCode()
location tags;android.telephony.TelephonyManager.getSimCountryIso()
location tags;android.location.Address.getAddressLine(int index)
location tags;android.location.Address.getLocality()
location tags;android.location.Geocoder.getFromLocationName(String locationName, int maxResults)
longitude;android.location.Location.getLongitude()
longitude;android.location.Location.setLongitude(double longitude)
mcc;android.telephony.TelephonyManager.getNetworkOperator()
mcc;android.telephony.TelephonyManager.getNetworkCountryIso()
mcc;android.telephony.TelephonyManager.getSimOperator()
mobile device id;android.telephony.TelephonyManager.getSimSerialNumber()
mobile device language setting;android.app.ActivityManager.getDeviceConfigurationInfo()
mobile device language setting;android.view.KeyCharacterMap.load(int deviceId)
mobile device language setting;android.app.SearchableInfo.getVoiceLanguageId()
mobile device language setting;android.app.SearchableInfo.getVoiceLanguageModeId()
mobile device type;android.telephony.TelephonyManager.getPhoneType()
mobile phone model;android.telephony.TelephonyManager.getPhoneType()
mobile service carrier name;android.telephony.TelephonyManager.getSimOperatorName()
network information;android.net.ConnectivityManager.isActiveNetworkMetered()
network information;android.net.NetworkInfo.getExtraInfo()
network measurements;android.telephony.TelephonyManager.getNeighboringCellInfo()
network measurements;android.net.NetworkInfo.getState()
network measurements;android.net.ConnectivityManager.getActiveNetworkInfo()
network measurements;android.net.ConnectivityManager.isActiveNetworkMetered()
network measurements;android.net.NetworkInfo.getDetailedState()
network measurements;android.net.ConnectivityManager.getNetworkInfo(int networkType)
network measurements;android.net.ConnectivityManager.getNetworkInfo(Network network)
network measurements;android.net.ConnectivityManager.getAllNetworkInfo()
network measurements;android.telephony.TelephonyManager.getSimState()
network measurements;android.net.wifi.WifiManager.getConnectionInfo()
network protocol;android.telephony.TelephonyManager.getNeighboringCellInfo()
network protocol;android.net.NetworkInfo.getSubtypeName()
network protocol;android.net.NetworkInfo.getSubtype()
network protocol;android.net.NetworkInfo.getType()
network protocol;android.net.NetworkInfo.getTypeName()
network type;android.telephony.TelephonyManager.getDataActivity()
network type;android.net.NetworkInfo.getSubtypeName()
network type;android.net.NetworkInfo.getSubtype()
network type;android.net.NetworkInfo.getType()
network type;android.net.NetworkInfo.getTypeName()
operating system information;android.content.pm.PackageManager.queryPermissionsByGroup(String group, int flags)
operating system information;android.test.mock.MockPackageManager.queryPermissionsByGroup(String group, int flags)
operating system information;android.content.Context.checkPermission(String permission, int pid, int uid)
operating system information;android.content.ContextWrapper.checkPermission(String permission, int pid, int uid)
operating system information;android.test.mock.MockContext.checkPermission(String permission, int pid, int uid)
operating system information;android.content.pm.PackageManager.getServiceInfo(ComponentName component, int flags)
peripherals;android.hardware.input.InputManager.getInputDeviceIds()
phone number;android.telephony.TelephonyManager.getLine1Number()
phone number;android.telephony.SmsMessage.getOriginatingAddress()
phone number;android.accounts.AccountManager.getUserData(Account account, String key)
postal code;android.location.Address.getPostalCode()
preferred language;android.accounts.AccountManager.getUserData(Account account, String key)
real-time location-based information;android.location.LocationManager.getLastKnownLocation(String provider)
referral url;android.webkit.WebView.getOriginalUrl()
sensors;android.hardware.SensorManager.getDefaultSensor(int type, boolean wakeUp)
sensors;android.hardware.SensorManager.getDefaultSensor(int type)
sensors;android.hardware.SensorManager.registerListener(SensorEventListener listener, Sensor sensor, int samplingPeriodUs, int maxReportLatencyUs)
service usage details;android.telephony.TelephonyManager.getDataActivity()
sms messages;android.telephony.SmsMessage.getDisplayMessageBody()
sms messages;android.telephony.SmsMessage.getMessageBody()
specifc location data;android.location.Geocoder.getFromLocationName(String locationName, int maxResults)
specific geolocation;android.location.Geocoder.getFromLocationName(String locationName, int maxResults)
telecommunications carrier information;android.net.NetworkInfo.getSubtypeName()
telecommunications carrier information;android.net.NetworkInfo.isRoaming()
telecommunications carrier information;android.telephony.ServiceState.getRoaming()
telecommunications carrier information;android.telephony.TelephonyManager.isNetworkRoaming()
telecommunications carrier information;android.net.NetworkInfo.getSubtype()
telecommunications carrier information;android.net.NetworkInfo.getType()
telecommunications carrier information;android.telephony.TelephonyManager.getSimState()
telecommunications carrier information;android.telephony.ServiceState.getState()
text messages;android.telephony.SmsMessage.getDisplayMessageBody()
text messages;android.telephony.SmsMessage.getMessageBody()
time;android.location.Location.getTime()
time zone;android.text.format.Time.getCurrentTimezone()
udid;android.telephony.TelephonyManager.getDeviceId()
unique application number;android.content.pm.PackageManager.getApplicationInfo(String packageName, int flags)
unique application number;android.test.mock.MockPackageManager.getApplicationInfo(String packageName, int flags)
unique device id;android.telephony.TelephonyManager.getDeviceId()
unique device id;android.telephony.TelephonyManager.getSubscriberId()
url;android.webkit.WebView.getOriginalUrl()
url;android.net.MailTo.getCc()
url;android.net.MailTo.getTo()
url;android.net.MailTo.getBody()
url;android.net.MailTo.getHeaders()
user content;android.os.Environment.getDataDirectory()
user content;android.accounts.AccountManager.getUserData(Account account, String key)
user information;android.app.admin.DevicePolicyManager.getActiveAdmins()
user information;android.support.v4.view.accessibility.AccessibilityRecordCompat.isPassword()
user information;android.view.accessibility.AccessibilityRecord.isPassword()
users internet protocol;android.accounts.AccountManager.getUserData(Account account, String key)
wi-fi access point information;android.net.wifi.WifiInfo.getBSSID()
wi-fi access point information;android.net.wifi.WifiManager.getConnectionInfo()
wi-fi access point information;android.net.wifi.WifiManager.getWifiState()
wi-fi access point information;android.net.wifi.WifiInfo.getLinkSpeed()
wi-fi access point information;android.net.wifi.WifiInfo.getNetworkId()
wi-fi access point information;android.net.wifi.WifiManager.getConfiguredNetworks()
wi-fi access point information;android.net.wifi.WifiInfo.getRssi()
wi-fi access point information;android.net.wifi.WifiInfo.getSSID()
wi-fi access points;android.net.wifi.WifiManager.getScanResults()
wifi signal strength;android.net.wifi.WifiManager.getConnectionInfo()
wifi signal strength;android.net.wifi.WifiInfo.getLinkSpeed()
wifi signal strength;android.net.wifi.WifiInfo.getRssi()
zip code;android.location.Address.getAddressLine(int index)
zip code;android.location.Address.getLocality()
zip code;android.location.Geocoder.getFromLocationName(String locationName, int maxResults)
